-0.026	0.157
0.090	11.295
0.208	20.758
0.312	30.023
0.384	36.973
0.455	44.385
0.554	53.280
0.631	60.229
0.690	64.909
0.761	71.348
0.826	78.714
0.923	85.178
1.102	91.086
1.281	97.111
1.607	105.485
1.810	111.086
1.997	116.531
2.160	122.633
2.355	129.275
2.551	136.690
2.811	142.068
3.136	148.280
3.443	154.443
3.736	159.407
4.073	166.304
4.397	172.105
4.731	175.790
5.121	180.352
5.512	185.253
5.902	188.317
6.293	191.875
6.683	195.471
7.074	198.630
7.464	201.545
7.855	204.254
8.245	207.812
8.636	210.282
9.026	213.075
9.417	215.474
9.807	217.952
10.198	220.331
10.588	222.443
10.979	224.611
11.369	226.779
11.792	228.734
12.118	229.990
12.541	231.431
12.931	232.442
13.332	233.522
13.496	234.003
13.752	234.557
14.103	235.164
14.493	235.865
14.884	236.644
15.274	237.578
15.665	237.379
16.055	236.856
16.446	236.439
16.744	235.915
16.982	235.584
17.203	235.457
17.582	235.839
17.973	236.205
18.398	236.602
19.159	236.315
19.635	235.555
20.021	234.823
20.376	234.351
20.644	234.646
