-0.725714286	2.37793253
2.660952381	50.07275318
7.499047619	75.01204557
10.16	85.10123757
1.20952381	23.58011356
0.483809524	-12.43686452
-2.902857143	-48.48158094
-8.95047619	-73.43348167
-4.596190476	-37.37867857
-2.177142857	-11.93505267
-0.967619048	2.375410863
0.725714286	17.75001811
2.660952381	43.18860068
5.321904762	65.4574471
11.85333333	96.23944328
15.48190476	105.8091718
19.11047619	112.2015991
15.72380952	93.10248881
12.0952381	79.29635879
9.434285714	62.3230143
3.87047619	33.66930556
-0.725714286	2.907482722
-2.177142857	-21.99650632
-5.08	-53.79977787
-9.918095238	-84.56412237
-14.99809524	-95.73763143
-18.14285714	-97.88861388
-13.06285714	-73.47635001
-10.64380952	-49.09182449
-8.466666667	-30.00532256
-6.047619048	-8.798098195
-2.660952381	9.771461882
1.20952381	25.69831433
5.563809524	56.4576155
8.466666667	75.02213224
19.83619048	117.504666
27.57714286	143.5333188
25.15809524	121.266994
20.32	95.79815145
14.99809524	71.38336592
10.16	48.03272411
7.015238095	28.93613551
1.935238095	9.289823373
-0.241904762	-2.382975865
-5.563809524	-46.39111851
-13.06285714	-82.47870328
-19.59428571	-106.9060972
-26.12571429	-129.2152903
-22.98095238	-102.704999
-20.56190476	-77.79092325
-14.75619048	-54.95974496
-10.64380952	-32.67576853
-4.354285714	-1.36674383
2.902857143	38.95472081
14.03047619	89.90753598
27.57714286	136.1196161
37.25333333	153.166089
33.6247619	131.4167061
30.23809524	111.2584954
22.98095238	80.99848441
15.24	44.90837797
7.015238095	14.10873012
3.144761905	-5.524973673
-0.241904762	-25.68318433
-3.87047619	-43.19616569
-12.57904762	-76.11905764
-20.07809524	-101.0860884
-28.30285714	-125.0015837
-36.04380952	-137.7914817
-31.68952381	-107.5617307
-25.88380952	-75.72819917
-15.48190476	-32.72620188
-7.499047619	1.777775646
-0.241904762	29.91958586
11.12761905	74.52032039
23.22285714	114.3626682
36.52761905	144.1561707
45.23619048	153.7788542
55.88	158.6557593
49.59047619	126.2876342
40.15619048	84.35482396
30.48	48.24454419
22.73904762	14.80218871
11.61142857	-11.26176742
1.20952381	-33.08175701
-9.434285714	-58.08156942
-22.98095238	-85.22984262
-32.4152381	-107.0397455
-40.88190476	-125.6622606
-50.31619048	-141.1175612
-53.9447619	-144.3326874
-48.13904762	-110.3809551
-40.39809524	-72.17264787
-31.93142857	-38.1931772
-18.62666667	1.132228744
-7.982857143	20.83653923
-1.935238095	36.2565365
7.257142857	55.94571698
19.59428571	79.90408068
28.30285714	100.6473182
38.7047619	126.1741592
48.62285714	140.5754027
54.67047619	148.5816973
59.50857143	155.5162831
65.79809524	156.6409469
74.50666667	158.8499277
72.81333333	137.1207181
57.8152381	86.12755627
44.99428571	40.98214155
24.43238095	-4.243966541
9.676190476	-31.40484807
-3.87047619	-51.13941857
-21.77142857	-75.68533082
-34.59238095	-95.41233631
-49.59047619	-117.8097878
-61.68571429	-137.5292283
-72.81333333	-148.765779
-64.1047619	-104.722333
-53.70285714	-64.8976369
-42.5752381	-24.00627538
-27.57714286	4.216228198
-11.12761905	31.92431159
2.177142857	51.12681023
20.07809524	82.55687498
33.14095238	99.10910099
45.23619048	118.2989913
60.71809524	131.6991328
73.29714286	142.9508136
83.2152381	154.174756
92.64952381	162.7459041
83.69904762	120.288587
69.91047619	69.3080335
59.26666667	39.01271917
48.38095238	10.83308393
29.75428571	-11.60219255
16.44952381	-30.80469119
2.177142857	-48.42862592
-12.57904762	-70.82355572
-36.76952381	-100.2009831
-56.84761905	-125.2991405
-76.44190476	-144.0376523
-91.92380952	-156.9082436
-83.2152381	-116.0420988
-71.36190476	-67.1999194
-58.54095238	-25.76135602
-38.46285714	11.51645585
-21.77142857	24.39965553
-2.177142857	47.37456887
20.56190476	77.26641639
35.56	107.6071207
55.15428571	124.2274318
73.78095238	139.7785558
86.36	147.3233852
96.27809524	154.310926
105.2285714	158.1110791
94.10095238	109.2764647
82.97333333	71.03285413
72.57142857	37.03321011
60.47619048	12.0182677
52.7352381	-6.067132203
36.28571429	-21.06601098
20.07809524	-35.00326771
3.628571429	-47.35439553
-17.41714286	-71.93308945
-38.7047619	-96.51430505
-62.65333333	-125.8892107
-85.39238095	-136.1877011
-98.21333333	-143.205502
-104.7447619	-146.9804384
-99.42285714	-122.5656528
-92.16571429	-96.0124932
-85.15047619	-71.58005599
-78.86095238	-50.33248494
-72.32952381	-29.08239223
-59.99238095	-12.53773122
-49.10666667	5.58045036
-41.36571429	13.60439661
-23.22285714	24.38452552
-12.0952381	35.62107627
-4.354285714	43.64502252
0	50.57456503
